filter_id,maintain_date,maintain_type,same_day_any_record,same_day_valid_record,before_24h_ok,after_24h_ok,both_24h_ok,before_24h_latest,after_24h_earliest,before_72h_ok,after_72h_ok,both_72h_ok,before_72h_latest,after_72h_earliest,before_168h_ok,after_168h_ok,both_168h_ok,before_168h_latest,after_168h_earliest
A1,2024-05-18,中维护,True,False,True,False,False,2024-05-17 23:00:08,-,True,True,True,2024-05-17 23:00:08,2024-05-19 00:00:01,True,True,True,2024-05-17 23:00:08,2024-05-19 00:00:01
A1,2024-07-19,中维护,True,False,True,False,False,2024-07-18 18:00:03,-,True,True,True,2024-07-18 18:00:03,2024-07-20 00:00:03,True,True,True,2024-07-18 18:00:03,2024-07-20 00:00:03
A1,2024-10-01,中维护,True,False,False,False,False,-,-,True,True,True,2024-09-29 13:00:08,2024-10-02 00:00:01,True,True,True,2024-09-29 13:00:08,2024-10-02 00:00:01
A1,2024-12-02,大维护,True,False,True,True,True,2024-12-01 23:00:00,2024-12-03 00:00:00,True,True,True,2024-12-01 23:00:00,2024-12-03 00:00:00,True,True,True,2024-12-01 23:00:00,2024-12-03 00:00:00
A1,2025-01-21,中维护,True,False,True,True,True,2025-01-20 23:00:00,2025-01-22 00:00:00,True,True,True,2025-01-20 23:00:00,2025-01-22 00:00:00,True,True,True,2025-01-20 23:00:00,2025-01-22 00:00:00
A1,2025-03-14,中维护,True,False,True,True,True,2025-03-13 23:00:00,2025-03-15 00:00:00,True,True,True,2025-03-13 23:00:00,2025-03-15 00:00:00,True,True,True,2025-03-13 23:00:00,2025-03-15 00:00:00
A1,2025-05-10,中维护,True,False,True,True,True,2025-05-09 23:00:00,2025-05-11 00:00:00,True,True,True,2025-05-09 23:00:00,2025-05-11 00:00:00,True,True,True,2025-05-09 23:00:00,2025-05-11 00:00:00
A1,2025-06-29,中维护,True,False,True,False,False,2025-06-28 23:00:00,-,True,True,True,2025-06-28 23:00:00,2025-06-30 12:00:00,True,True,True,2025-06-28 23:00:00,2025-06-30 12:00:00
A1,2025-09-15,中维护,True,False,True,False,False,2025-09-14 23:00:00,-,True,True,True,2025-09-14 23:00:00,2025-09-16 13:00:00,True,True,True,2025-09-14 23:00:00,2025-09-16 13:00:00
A1,2025-11-14,大维护,True,False,True,False,False,2025-11-13 23:00:00,-,True,True,True,2025-11-13 23:00:00,2025-11-15 12:00:00,True,True,True,2025-11-13 23:00:00,2025-11-15 12:00:00
A1,2026-01-19,中维护,True,False,True,False,False,2026-01-18 23:00:00,-,True,True,True,2026-01-18 23:00:00,2026-01-20 04:00:00,True,True,True,2026-01-18 23:00:00,2026-01-20 04:00:00
A1,2026-03-07,中维护,True,False,True,False,False,2026-03-06 22:00:00,-,True,True,True,2026-03-06 22:00:00,2026-03-08 04:00:00,True,True,True,2026-03-06 22:00:00,2026-03-08 04:00:00
A10,2024-05-25,中维护,True,False,True,True,True,2024-05-24 23:00:08,2024-05-26 00:00:00,True,True,True,2024-05-24 23:00:08,2024-05-26 00:00:00,True,True,True,2024-05-24 23:00:08,2024-05-26 00:00:00
A10,2024-07-25,大维护,True,False,True,False,False,2024-07-24 18:00:03,-,True,True,True,2024-07-24 18:00:03,2024-07-26 00:00:03,True,True,True,2024-07-24 18:00:03,2024-07-26 00:00:03
A10,2024-10-01,中维护,True,False,True,False,False,2024-09-30 23:00:08,-,True,True,True,2024-09-30 23:00:08,2024-10-02 02:00:08,True,True,True,2024-09-30 23:00:08,2024-10-02 02:00:08
A10,2024-11-20,中维护,True,False,True,True,True,2024-11-19 23:00:00,2024-11-21 00:00:00,True,True,True,2024-11-19 23:00:00,2024-11-21 00:00:00,True,True,True,2024-11-19 23:00:00,2024-11-21 00:00:00
A10,2025-01-18,中维护,True,False,True,True,True,2025-01-17 23:00:00,2025-01-19 00:00:00,True,True,True,2025-01-17 23:00:00,2025-01-19 00:00:00,True,True,True,2025-01-17 23:00:00,2025-01-19 00:00:00
A10,2025-02-24,中维护,True,False,True,True,True,2025-02-23 23:00:00,2025-02-25 00:00:00,True,True,True,2025-02-23 23:00:00,2025-02-25 00:00:00,True,True,True,2025-02-23 23:00:00,2025-02-25 00:00:00
A10,2025-04-11,大维护,True,False,True,True,True,2025-04-10 23:00:00,2025-04-12 00:00:00,True,True,True,2025-04-10 23:00:00,2025-04-12 00:00:00,True,True,True,2025-04-10 23:00:00,2025-04-12 00:00:00
A10,2025-06-05,中维护,True,False,True,False,False,2025-06-04 23:00:00,-,True,True,True,2025-06-04 23:00:00,2025-06-06 06:00:00,True,True,True,2025-06-04 23:00:00,2025-06-06 06:00:00
A10,2025-08-19,中维护,True,False,True,True,True,2025-08-18 23:00:00,2025-08-20 00:00:00,True,True,True,2025-08-18 23:00:00,2025-08-20 00:00:00,True,True,True,2025-08-18 23:00:00,2025-08-20 00:00:00
A10,2025-11-01,中维护,True,False,True,True,True,2025-10-31 23:00:00,2025-11-02 00:00:00,True,True,True,2025-10-31 23:00:00,2025-11-02 00:00:00,True,True,True,2025-10-31 23:00:00,2025-11-02 00:00:00
A10,2026-01-01,大维护,True,False,True,True,True,2025-12-31 20:00:00,2026-01-02 00:00:00,True,True,True,2025-12-31 20:00:00,2026-01-02 00:00:00,True,True,True,2025-12-31 20:00:00,2026-01-02 00:00:00
A10,2026-02-13,中维护,True,False,True,True,True,2026-02-12 18:00:00,2026-02-14 00:00:00,True,True,True,2026-02-12 18:00:00,2026-02-14 00:00:00,True,True,True,2026-02-12 18:00:00,2026-02-14 00:00:00
A10,2026-03-26,中维护,True,False,True,True,True,2026-03-25 18:00:00,2026-03-27 00:00:00,True,True,True,2026-03-25 18:00:00,2026-03-27 00:00:00,True,True,True,2026-03-25 18:00:00,2026-03-27 00:00:00
A2,2024-06-04,中维护,True,False,True,True,True,2024-06-03 23:00:07,2024-06-05 00:00:00,True,True,True,2024-06-03 23:00:07,2024-06-05 00:00:00,True,True,True,2024-06-03 23:00:07,2024-06-05 00:00:00
A2,2024-08-16,中维护,True,False,True,False,False,2024-08-15 18:00:03,-,True,True,True,2024-08-15 18:00:03,2024-08-17 00:00:03,True,True,True,2024-08-15 18:00:03,2024-08-17 00:00:03
A2,2024-11-03,中维护,True,False,True,True,True,2024-11-02 23:00:00,2024-11-04 00:00:00,True,True,True,2024-11-02 23:00:00,2024-11-04 00:00:00,True,True,True,2024-11-02 23:00:00,2024-11-04 00:00:00
A2,2025-01-01,中维护,True,False,True,True,True,2024-12-31 23:00:00,2025-01-02 00:00:00,True,True,True,2024-12-31 23:00:00,2025-01-02 00:00:00,True,True,True,2024-12-31 23:00:00,2025-01-02 00:00:00
